City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,sheksna,59.21,38.5107,-3.02,96,100,2.1,RU,1698703489
149,tvoroyri,61.5556,-6.8111,7.22,63,93,8.87,FO,1698703491
150,batar,46.7,21.8167,16.32,47,35,4.27,RO,1698703491
151,london,51.5085,-0.1257,9.42,92,34,2.18,GB,1698703209
152,maraba,-5.3686,-49.1178,31.1,66,51,1.03,BR,1698703302
153,chos malal,-37.3781,-70.2709,11.64,44,100,3.67,AR,1698703492
154,kalulushi,-12.8378,28.0919,18.84,83,100,2.22,ZM,1698703493
155,nicoya,10.1483,-85.452,23.4,98,100,1.25,CR,1698703493
156,chul'man,56.8479,124.9104,-27.89,100,84,0.74,RU,1698703494
157,gulu,2.7746,32.299,18.61,94,100,1.41,UG,1698703494
158,ghadamis,30.1337,9.5007,26.04,17,85,4.65,LY,1698703494
159,cartagena del chaira,1.3349,-74.8429,29.38,67,100,1.12,CO,1698703495
160,zanjan,36.6736,48.4787,8.81,83,100,3.12,IR,1698703495
161,baalbek,34.0058,36.2181,17.74,49,100,2.16,LB,1698703496
162,fougamou,-1.2154,10.5838,23.95,99,100,1.21,GA,1698703496
163,cabo san lucas,22.8909,-109.9124,32.01,68,2,0.89,MX,1698703220
164,preston,53.7667,-2.7167,8.81,86,100,6.91,GB,1698703497
165,rio san juan,19.6439,-70.0763,28.6,77,100,3.11,DO,1698703438
166,margaret river,-33.95,115.0667,9.18,90,47,3.95,AU,1698703498
167,haiku-pauwela,20.9219,-156.3051,27.92,69,17,2.98,US,1698703272
168,port moresby,-9.4431,147.1797,23.68,94,75,1.54,PG,1698703499
169,hotan,37.0997,79.9269,13.76,20,0,2.4,CN,1698703500
170,kenai,60.5544,-151.2583,5.61,75,0,4.63,US,1698703500
171,vila franca do campo,37.7167,-25.4333,18.23,99,23,3.2,PT,1698703501
172,fauske,67.2588,15.3918,-2.9,86,9,2.57,NO,1698703502
173,pingshan,22.9938,114.7131,19.85,88,97,1.25,CN,1698703503
174,sa kaeo,13.75,102.3333,23.72,93,100,2.68,TH,1698703504
175,luanda,-8.8368,13.2343,23.0,94,75,2.06,AO,1698703381
176,kovel,51.2153,24.7087,11.01,84,100,3.2,UA,1698703506
177,ventspils,57.3894,21.5606,9.96,100,100,3.09,LV,1698703507
178,ilulissat,69.2167,-51.1,2.01,55,5,9.26,GL,1698703507
179,vorgashor,67.5833,63.95,-11.72,87,100,3.69,RU,1698703508
180,bridgewater,44.3835,-64.5155,4.82,95,100,4.12,CA,1698703427
181,afaahiti,-17.75,-149.2833,27.93,84,15,9.22,PF,1698703246
182,rio gallegos,-51.6226,-69.2181,7.03,36,40,5.14,AR,1698703510
183,iskateley,67.6803,53.1512,-6.66,95,98,4.47,RU,1698703509
184,mount gambier,-37.8333,140.7667,11.65,58,77,4.29,AU,1698703511
185,arno,60.1167,18.6333,3.77,97,100,9.61,SE,1698703511
186,walvis bay,-22.9575,14.5053,13.53,94,8,2.57,NA,1698703512
187,colchani,-20.3,-66.9333,13.86,10,25,4.56,BO,1698703512
188,namibe,-15.1961,12.1522,18.3,82,0,1.69,AO,1698703513
189,okhotsk,59.3833,143.3,-4.34,85,100,3.11,RU,1698703514
190,tomatlan,19.9333,-105.25,29.41,71,46,4.5,MX,1698703514
191,mount pearl,47.5166,-52.7813,3.8,74,100,4.63,CA,1698703235
192,dubrovnik,42.6481,18.0922,19.8,52,0,7.2,HR,1698703299
193,kertosono,-7.5833,112.1,23.99,86,13,1.94,ID,1698703516
194,hood river,45.7054,-121.5215,12.42,51,0,3.13,US,1698703517
195,broome,42.2506,-75.833,7.06,94,100,4.12,US,1698703518
196,beberibe,-4.1797,-38.1306,25.95,74,51,5.86,BR,1698703247
197,grand baie,-20.0182,57.5802,25.26,78,3,7.12,MU,1698703519
198,chibougamau,49.9168,-74.3659,-3.21,80,75,3.6,CA,1698703521
199,hermanus,-34.4187,19.2345,14.57,75,1,9.01,ZA,1698703525
200,tura,25.5198,90.2201,19.35,87,95,1.49,IN,1698703526
201,orebro,59.2741,15.2066,8.76,93,75,7.2,SE,1698703284
202,ribeira grande,38.5167,-28.7,19.87,77,40,6.69,PT,1698703509
203,el maamoura,36.465,10.8061,24.14,82,89,5.87,TN,1698703528
204,usogorsk,63.4106,48.6872,-3.52,83,100,1.11,RU,1698703528
205,banff,51.1762,-115.5698,2.57,51,78,2.57,CA,1698703317
206,daru,-9.0763,143.2092,26.32,76,100,4.48,PG,1698703529
207,saudarkrokur,65.7461,-19.6394,-1.4,81,55,3.49,IS,1698703530
208,saldanha,-33.0117,17.9442,17.03,69,0,9.17,ZA,1698703530
209,ar rutbah,33.0381,40.2848,21.76,44,99,2.38,IQ,1698703531
210,astrakhan,46.3497,48.0408,4.93,100,0,2.0,RU,1698703531
211,saint-pierre,-21.3393,55.4781,23.82,69,40,3.09,RE,1698703532
212,ta`u,-14.2336,-169.5144,27.12,81,12,11.15,AS,1698703533
213,hithadhoo,-0.6,73.0833,26.89,80,16,4.24,MV,1698703533
214,manavalakurichi,8.1333,77.3,25.22,86,85,2.64,IN,1698703534
215,forster,-32.1667,152.5167,26.27,44,80,2.38,AU,1698703534
216,sitka,57.0531,-135.33,8.94,81,100,2.57,US,1698703535
217,as sulayyil,20.4607,45.5779,26.14,29,100,5.11,SA,1698703473
218,touros,-5.1989,-35.4608,26.35,77,17,9.62,BR,1698703536
219,jamestown,42.097,-79.2353,5.57,89,100,8.23,US,1698703351
220,magadan,59.5667,150.8,-8.41,82,4,1.56,RU,1698703536
221,nova sintra,14.8667,-24.7167,23.4,67,31,1.26,CV,1698703537
222,shalqar,47.8333,59.6,5.81,65,100,8.24,KZ,1698703537
223,wewak,-3.5534,143.6268,25.62,84,96,2.1,PG,1698703538
224,amga,60.8953,131.9608,-11.25,90,100,2.32,RU,1698703538
225,gurupa,-1.405,-51.64,32.31,42,81,3.31,BR,1698703353
226,alaghsas,17.0187,8.0168,27.67,13,50,5.55,NE,1698703539
227,qaqortoq,60.7167,-46.0333,6.43,53,100,7.02,GL,1698703540
228,zouerate,22.7187,-12.4521,28.91,14,0,1.1,MR,1698703540
229,hawaiian paradise park,19.5933,-154.9731,27.73,86,100,4.12,US,1698703530
230,mayya,61.7333,130.2811,-15.38,97,100,1.92,RU,1698703541
231,villa de san francisco,14.1667,-86.9667,24.71,91,87,1.11,HN,1698703541
232,diamantino,-14.4086,-56.4461,25.07,83,88,2.65,BR,1698703543
233,naze,28.3667,129.4833,20.51,64,20,7.19,JP,1698703544
234,sinabang,2.4803,96.3801,25.19,87,100,1.91,ID,1698703546
235,cavalaire-sur-mer,43.174,6.5272,16.4,92,3,2.91,FR,1698703549
236,dul'durga,50.6761,113.5931,-9.98,99,86,1.29,RU,1698703549
237,aasiaat,68.7098,-52.8699,-3.81,77,6,8.36,GL,1698703542
238,faya-largeau,17.9257,19.1043,26.35,18,2,6.45,TD,1698703550
239,yanchep,-31.55,115.6833,13.67,63,39,6.27,AU,1698703313
240,kargasok,59.0556,80.8572,-10.58,93,7,3.58,RU,1698703551
241,iawar,23.0,76.5,19.62,51,100,2.58,IN,1698703552
242,harstad,68.799,16.5293,-0.21,96,89,4.47,NO,1698703552
243,ried im innkreis,48.2112,13.4886,16.48,77,100,4.02,AT,1698703553
244,gazli,40.1333,63.45,15.68,45,71,7.04,UZ,1698703553
245,fresnillo,23.1667,-102.8833,22.75,55,75,4.19,MX,1698703553
246,noshiro,40.2039,140.0242,9.92,85,4,2.43,JP,1698703554
247,fale old settlement,-9.3852,-171.2468,28.3,78,51,6.61,TK,1698703554
248,saipan,15.1355,145.701,28.39,89,40,5.14,MP,1698703555
249,whistler,50.1164,-122.9695,9.66,49,0,1.54,CA,1698703555
250,xiva,41.3783,60.3639,8.99,73,14,4.64,UZ,1698703556
251,margate,51.3813,1.3862,9.94,93,100,4.33,GB,1698703556
252,sandnessjoen,66.0217,12.6316,-1.94,80,20,1.54,NO,1698703557
253,arta,39.1606,20.9853,17.81,71,0,1.41,GR,1698703557
254,waingapu,-9.6567,120.2641,26.67,80,6,4.67,ID,1698703558
255,mahina,-17.5065,-149.489,28.87,70,40,2.06,PF,1698703558
256,zayed city,24.3768,54.589,30.0,61,0,3.09,AE,1698703558
257,pagar alam,-4.0167,103.2667,19.75,81,53,1.2,ID,1698703559
258,muntok,-2.0667,105.1833,27.55,76,25,3.09,ID,1698703559
259,fada,9.5667,8.3,24.66,52,79,0.91,NG,1698703260
260,panaba,21.2833,-88.2667,29.06,61,31,6.44,MX,1698703562
261,boda,4.3189,17.4695,23.27,88,17,2.0,CF,1698703563
262,el granada,37.5027,-122.4694,25.32,28,0,1.54,US,1698703313
263,novyy urengoy,66.0833,76.6333,-12.99,92,10,1.95,RU,1698703564
264,murzuq,25.9155,13.9184,22.24,29,0,3.68,LY,1698703565
265,kerman,30.2832,57.0788,13.92,41,0,0.0,IR,1698703565
266,namtsy,62.7161,129.6658,-16.63,96,100,2.94,RU,1698703566
267,braganca,-1.0536,-46.7656,26.52,76,1,2.73,BR,1698703328
268,hadibu,12.65,54.0333,26.31,75,100,5.53,YE,1698703567
269,nuuk,64.1835,-51.7216,8.34,31,75,11.83,GL,1698703312
270,coquimbo,-29.9533,-71.3436,18.85,68,0,6.69,CL,1698703558
271,ancud,-41.8697,-73.8203,8.66,69,6,8.49,CL,1698703568
272,mar del plata,-38.0023,-57.5575,13.01,56,0,6.17,AR,1698703503
273,sinazongwe,-17.2614,27.4618,25.43,64,100,4.71,ZM,1698703570
274,chust,41.0094,71.2287,14.66,40,100,0.68,UZ,1698703570
275,sarina,-21.4333,149.2167,25.7,32,18,1.34,AU,1698703570
276,fortuna,40.5982,-124.1573,19.4,54,0,4.12,US,1698703489
277,burang,30.25,81.1667,-0.99,71,71,1.15,CN,1698703571
278,hammerfest,70.6634,23.6821,1.25,86,40,5.66,NO,1698703572
279,kaitong,44.8135,123.15,4.47,30,82,3.01,CN,1698703572
280,kuanda,56.3161,116.0806,-12.67,55,37,0.29,RU,1698703489
281,vilyuysk,63.7553,121.6247,-18.18,100,94,1.29,RU,1698703573
282,kavieng,-2.5744,150.7967,27.45,76,85,4.17,PG,1698703574
283,holstebro,56.3601,8.6161,5.23,84,99,4.98,DK,1698703574
284,belogorsk,50.9158,128.4611,-4.66,50,100,1.32,RU,1698703575
285,oyama,36.3,139.8,16.99,64,98,1.01,JP,1698703575
286,atafu village,-8.5421,-172.5159,28.92,76,53,7.08,TK,1698703525
287,chernyshevskiy,63.0128,112.4714,-28.1,100,59,1.1,RU,1698703576
288,sabha,27.0377,14.4283,23.4,24,5,3.12,LY,1698703577
289,ust'-ilimsk,58.0006,102.6619,-9.76,94,72,1.79,RU,1698703578
290,dudinka,69.4058,86.1778,-16.85,97,100,0.89,RU,1698703578
291,reggane,26.7158,0.1714,30.94,12,51,2.71,DZ,1698703499
292,kayangel,8.0823,134.7173,28.52,74,28,3.24,PW,1698703579
293,zaraza,9.3503,-65.3245,29.13,63,95,1.24,VE,1698703580
294,svendborg,55.0598,10.6068,9.98,95,78,2.7,DK,1698703580
295,araioses,-2.89,-41.9031,27.99,74,0,8.23,BR,1698703581
296,penon blanco,24.7897,-104.0369,13.58,81,97,4.28,MX,1698703581
297,tieling,42.2931,123.8414,12.89,88,84,4.64,CN,1698703582
298,brandon,27.9378,-82.2859,30.11,65,0,3.6,US,1698703317
299,ha'il,27.5219,41.6907,16.01,88,0,2.06,SA,1698703583
300,mahibadhoo,3.7833,72.9667,27.31,76,22,3.22,MV,1698703583
301,karratha,-20.7377,116.8463,27.1,66,50,5.49,AU,1698703584
302,lugu,23.7464,120.7525,19.57,81,77,1.18,TW,1698703584
303,el fahs,36.3742,9.9065,20.32,69,100,2.38,TN,1698703585
304,ridder,50.355,83.5133,4.61,100,100,2.23,KZ,1698703585
305,nova vicosa,-17.8919,-39.3719,24.65,75,93,6.61,BR,1698703585
306,kipushi,-11.7667,27.2333,19.27,81,100,1.54,CD,1698703586
307,grenville,12.1167,-61.6167,30.03,77,100,7.76,GD,1698703475
308,taltal,-25.4,-70.4833,20.21,63,22,2.36,CL,1698703587
309,khandyga,62.6667,135.6,-9.92,95,100,2.37,RU,1698703588
310,midvagur,62.0511,-7.1939,3.46,81,40,3.6,FO,1698703570
311,muriae,-21.1306,-42.3664,25.0,93,87,1.31,BR,1698703391
312,mugia,43.1041,-9.2179,15.09,74,4,7.07,ES,1698703299
313,louisville,38.2542,-85.7594,7.29,77,100,4.02,US,1698703592
314,pionerskiy,54.9508,20.2275,11.19,84,100,4.45,RU,1698703592
315,zaozersk,69.4005,32.4476,-6.35,91,100,4.33,RU,1698703593
316,bamboo flat,11.7,92.7167,26.05,89,40,1.54,IN,1698703593
317,klyuchi,52.2667,79.1667,6.63,91,100,4.04,RU,1698703594
318,witu,-2.3889,40.4382,26.09,97,5,1.95,KE,1698703595
319,shuangjiang,26.1547,109.7138,14.35,82,100,0.91,CN,1698703595
320,solnechnyy,50.7214,136.6319,0.57,70,56,0.79,RU,1698703596
321,adi keyh,14.8444,39.3772,14.25,84,61,1.85,ER,1698703597
322,lompoc,34.6391,-120.4579,27.66,28,0,6.17,US,1698703593
323,san mateo del mar,16.2,-95.0,30.12,61,61,12.87,MX,1698703480
324,plettenberg bay,-34.0527,23.3716,12.93,74,0,4.88,ZA,1698703601
325,callao,-12.0667,-77.15,21.16,68,0,8.75,PE,1698703602
326,dickinson,29.4608,-95.0513,11.66,83,100,6.69,US,1698703602
327,franklin,39.9667,-83.0166,7.54,79,75,4.12,US,1698703370
328,zeya,53.75,127.2667,-8.06,65,53,1.45,RU,1698703603
329,saint-philippe,-21.3585,55.7679,23.77,82,27,4.25,RE,1698703604
330,vega de alatorre,20.0333,-96.6333,22.67,88,83,12.12,MX,1698703604
331,pankrushikha,53.8319,80.3406,-1.79,97,100,2.65,RU,1698703605
332,nikolayevsk-on-amure,53.1406,140.73,-1.46,86,12,2.12,RU,1698703605
333,laguna,38.421,-121.4238,24.49,27,0,2.57,US,1698703605
334,ramanuj ganj,23.8,83.7,17.48,74,82,1.54,IN,1698703606
335,puerto ayacucho,5.6639,-67.6236,31.34,62,15,1.73,VE,1698703606
336,copala,16.65,-98.9833,28.95,78,65,2.03,MX,1698703607
337,buka,40.8108,69.1986,17.42,41,98,1.01,UZ,1698703374
338,kapuskasing,49.4169,-82.4331,-3.28,72,80,2.28,CA,1698703608
339,ayr,55.4627,-4.6339,5.99,75,40,6.69,GB,1698703608
340,vorkuta,67.5,64.0,-11.26,86,100,3.59,RU,1698703608
341,onega,63.9061,38.1404,-2.72,85,98,3.17,RU,1698703609
342,drahichyn,52.1874,25.1597,10.63,91,98,3.13,BY,1698703609
343,lae,-6.7221,146.9847,23.48,94,100,1.66,PG,1698703610
344,siocon,7.7061,122.1353,25.68,85,99,1.53,PH,1698703610
345,tutoia,-2.7619,-42.2744,26.48,79,72,7.13,BR,1698703611
346,soest,51.5756,8.1062,13.79,95,100,2.43,DE,1698703611
347,fort mcmurray,56.7268,-111.381,-0.27,47,0,4.12,CA,1698703520
348,diu,20.7141,70.9822,24.88,46,43,2.92,IN,1698703612
349,gilgit,35.9221,74.3087,13.15,39,1,2.49,PK,1698703613
350,basyun,30.9398,30.8134,21.53,88,50,2.6,EG,1698703613
351,sarupathar,26.1984,93.8094,19.28,90,55,0.61,IN,1698703614
352,tolanaro,-25.0319,46.9987,22.93,91,100,1.6,MG,1698703614
353,nagqu,31.5,92.0,-6.64,88,100,0.97,CN,1698703615
354,mizdah,31.4451,12.9801,22.01,26,12,3.13,LY,1698703616
355,antsiranana,-12.2787,49.2917,24.72,81,100,6.29,MG,1698703616
